CustomerID,Platform,Age,AgeGroup,Gender,Location,AccountAge_Months,SignupDate,PreferredLanguage,SubscriptionType
CUST00095,Amazon Prime,18,18-24,Female,Bangalore,56,2019-05-05,Telugu,Premium
CUST00096,Netflix,18,18-24,Male,Jaipur,11,2023-02-04,Kannada,Basic
CUST00097,Amazon Prime,37,35-44,Male,Delhi,58,2019-03-20,Marathi,Premium
CUST00098,Netflix,32,25-34,Female,Jaipur,50,2019-11-04,Gujarati,Standard
CUST00099,JioHotstar,18,18-24,Male,Jaipur,40,2020-09-11,Telugu,Premium
CUST00100,JioHotstar,29,25-34,Female,Jaipur,38,2020-10-24,Hindi,Standard
CUST00101,SonyLiv,18,18-24,Female,Hyderabad,10,2023-03-04,Hindi,Standard
CUST00102,Amazon Prime,43,35-44,Male,Mumbai,55,2019-06-26,Telugu,Premium
CUST00103,SonyLiv,34,25-34,Female,Hyderabad,19,2022-05-22,English,Premium
CUST00104,Amazon Prime,51,45-54,Female,Pune,6,2023-06-24,Kannada,Standard
CUST00105,Amazon Prime,30,25-34,Male,Hyderabad,42,2020-06-21,Kannada,Basic
CUST00106,SonyLiv,26,25-34,Male,Delhi,17,2022-08-06,Marathi,Standard
CUST00107,Amazon Prime,26,25-34,Female,Chennai,8,2023-04-14,Hindi,Premium
CUST00108,ZEE5,30,25-34,Male,Bangalore,59,2019-02-20,English,Standard
CUST00109,Amazon Prime,28,25-34,Male,Bangalore,49,2019-12-06,Tamil,Premium
CUST00110,ZEE5,47,45-54,Male,Delhi,5,2023-07-21,Bengali,Standard
CUST00111,JioHotstar,35,35-44,Male,Jaipur,44,2020-05-01,Tamil,Premium
CUST00112,Amazon Prime,42,35-44,Female,Kolkata,58,2019-03-06,English,Basic
CUST00113,Netflix,33,25-34,Female,Lucknow,24,2022-01-10,Hindi,Premium
CUST00114,JioHotstar,29,25-34,Male,Kolkata,33,2021-03-18,Telugu,Premium
CUST00115,SonyLiv,40,35-44,Male,Hyderabad,28,2021-09-07,Tamil,Premium
CUST00116,JioHotstar,18,18-24,Male,Bangalore,56,2019-05-11,Marathi,Family
CUST00117,Amazon Prime,33,25-34,Male,Lucknow,25,2021-12-10,Hindi,Basic
CUST00118,SonyLiv,24,18-24,Male,Pune,4,2023-08-20,Gujarati,Basic
CUST00119,Amazon Prime,33,25-34,Female,Hyderabad,39,2020-10-16,Marathi,Premium
CUST00120,ZEE5,18,18-24,Male,Lucknow,22,2022-02-18,Tamil,Standard
CUST00121,Amazon Prime,29,25-34,Female,Pune,40,2020-08-24,Bengali,Premium
CUST00122,Netflix,33,25-34,Female,Lucknow,53,2019-07-30,Kannada,Basic
CUST00123,Amazon Prime,38,35-44,Female,Ahmedabad,60,2019-01-10,Hindi,Premium
CUST00124,JioHotstar,33,25-34,Female,Kolkata,42,2020-07-01,Malayalam,Basic
CUST00125,Amazon Prime,28,25-34,Female,Kolkata,20,2022-04-22,English,Standard
CUST00126,Amazon Prime,53,45-54,Male,Kolkata,52,2019-09-24,Malayalam,Basic
CUST00127,Netflix,46,45-54,Male,Delhi,29,2021-08-08,Marathi,Premium
CUST00128,JioHotstar,32,25-34,Female,Kolkata,22,2022-02-13,Bengali,Standard
CUST00129,Netflix,30,25-34,Female,Pune,54,2019-07-03,Malayalam,Basic
CUST00130,ZEE5,29,25-34,Female,Ahmedabad,10,2023-03-03,Gujarati,Standard
CUST00131,JioHotstar,24,18-24,Male,Lucknow,59,2019-02-13,Kannada,Premium
CUST00132,Amazon Prime,30,25-34,Male,Hyderabad,21,2022-03-24,Hindi,Basic
CUST00133,JioHotstar,36,35-44,Female,Kolkata,26,2021-11-10,Telugu,Basic
CUST00134,SonyLiv,52,45-54,Female,Lucknow,60,2019-01-09,English,Standard
CUST00135,SonyLiv,23,18-24,Male,Chennai,49,2019-11-25,Malayalam,Basic
CUST00136,Netflix,32,25-34,Male,Mumbai,51,2019-09-27,Telugu,Standard
CUST00137,Netflix,40,35-44,Male,Pune,26,2021-10-27,Kannada,Standard
CUST00138,JioHotstar,40,35-44,Female,Chennai,57,2019-03-29,Hindi,Premium
CUST00139,ZEE5,18,18-24,Female,Delhi,3,2023-09-28,Kannada,Standard
CUST00140,JioHotstar,41,35-44,Male,Chennai,37,2020-11-22,Telugu,Premium
CUST00141,Amazon Prime,38,35-44,Male,Bangalore,46,2020-03-20,Gujarati,Basic
CUST00142,JioHotstar,30,25-34,Male,Jaipur,22,2022-02-18,Kannada,Standard
CUST00143,ZEE5,32,25-34,Female,Bangalore,27,2021-09-28,Telugu,Basic
CUST00144,Netflix,28,25-34,Male,Lucknow,50,2019-11-10,Gujarati,Basic
CUST00145,Amazon Prime,26,25-34,Male,Lucknow,49,2019-12-22,Telugu,Standard
CUST00146,Netflix,26,25-34,Non-Binary,Ahmedabad,52,2019-08-26,Marathi,Family
CUST00147,Amazon Prime,30,25-34,Male,Chennai,26,2021-10-16,Telugu,Standard
CUST00148,Netflix,18,18-24,Female,Bangalore,38,2020-11-17,Hindi,Standard
CUST00149,Netflix,44,35-44,Female,Hyderabad,5,2023-08-01,Malayalam,Premium
CUST00150,JioHotstar,36,35-44,Female,Bangalore,8,2023-04-27,English,Standard
CUST00151,ZEE5,39,35-44,Male,Delhi,45,2020-04-03,Hindi,Basic
CUST00152,ZEE5,36,35-44,Non-Binary,Jaipur,3,2023-09-06,Telugu,Basic
CUST00153,ZEE5,27,25-34,Male,Chennai,41,2020-08-17,Tamil,Premium
CUST00154,JioHotstar,48,45-54,Female,Delhi,35,2021-02-10,Marathi,Basic
CUST00155,SonyLiv,39,35-44,Male,Chennai,25,2021-12-04,Gujarati,Family
CUST00156,JioHotstar,55,55+,Female,Pune,22,2022-02-22,Marathi,Basic
CUST00157,Netflix,18,18-24,Male,Jaipur,7,2023-05-26,Marathi,Premium
CUST00158,Netflix,35,35-44,Male,Ahmedabad,10,2023-02-07,English,Basic
CUST00159,ZEE5,36,35-44,Male,Lucknow,26,2021-10-15,Marathi,Standard
CUST00160,ZEE5,18,18-24,Female,Kolkata,51,2019-10-19,Malayalam,Family
CUST00161,Netflix,41,35-44,Female,Chennai,30,2021-06-18,Bengali,Premium
CUST00162,SonyLiv,22,18-24,Male,Lucknow,33,2021-03-26,Kannada,Standard
CUST00163,Netflix,33,25-34,Female,Bangalore,45,2020-04-16,Hindi,Standard
CUST00164,Amazon Prime,26,25-34,Female,Lucknow,16,2022-09-06,Malayalam,Standard
CUST00165,Netflix,25,25-34,Female,Bangalore,24,2021-12-19,Bengali,Standard
CUST00166,Netflix,29,25-34,Female,Delhi,47,2020-02-15,Tamil,Family
CUST00167,Amazon Prime,28,25-34,Male,Lucknow,14,2022-10-24,Malayalam,Standard
CUST00168,Amazon Prime,23,18-24,Male,Delhi,18,2022-06-13,Malayalam,Standard
CUST00169,Amazon Prime,33,25-34,Female,Delhi,46,2020-02-25,Tamil,Standard
CUST00170,JioHotstar,39,35-44,Female,Bangalore,38,2020-10-22,Tamil,Standard
CUST00171,JioHotstar,25,25-34,Female,Pune,47,2020-01-30,Malayalam,Standard
CUST00172,SonyLiv,52,45-54,Female,Ahmedabad,38,2020-11-02,Gujarati,Basic
CUST00173,Amazon Prime,18,18-24,Female,Chennai,21,2022-04-02,Hindi,Standard
CUST00174,SonyLiv,31,25-34,Female,Pune,12,2022-12-28,Tamil,Premium
CUST00175,Netflix,47,45-54,Female,Delhi,10,2023-02-28,Kannada,Family
CUST00176,Amazon Prime,40,35-44,Female,Kolkata,43,2020-05-26,Kannada,Standard
CUST00177,SonyLiv,19,18-24,Female,Delhi,50,2019-10-28,Malayalam,Standard
CUST00178,JioHotstar,26,25-34,Male,Ahmedabad,54,2019-07-02,Marathi,Premium
CUST00179,Netflix,33,25-34,Female,Bangalore,45,2020-04-10,Bengali,Basic
CUST00180,SonyLiv,31,25-34,Male,Delhi,49,2019-12-22,English,Basic
CUST00181,Netflix,23,18-24,Male,Pune,7,2023-06-03,English,Basic
CUST00182,Netflix,34,25-34,Male,Chennai,43,2020-05-25,Tamil,Family
CUST00183,Amazon Prime,22,18-24,Male,Kolkata,45,2020-04-21,English,Basic
CUST00184,JioHotstar,39,35-44,Female,Chennai,34,2021-02-22,Kannada,Basic
CUST00185,Amazon Prime,37,35-44,Female,Ahmedabad,53,2019-08-08,English,Basic
CUST00186,Amazon Prime,19,18-24,Male,Jaipur,37,2020-11-26,Tamil,Basic
CUST00187,JioHotstar,42,35-44,Male,Pune,50,2019-10-30,Telugu,Basic
CUST00188,Netflix,33,25-34,Female,Jaipur,36,2021-01-07,Bengali,Basic
CUST00189,Netflix,40,35-44,Non-Binary,Delhi,34,2021-02-19,Malayalam,Standard
CUST00190,Netflix,33,25-34,Female,Mumbai,17,2022-07-20,Hindi,Standard
CUST00191,Amazon Prime,36,35-44,Female,Lucknow,26,2021-10-30,English,Standard
CUST00192,Amazon Prime,29,25-34,Male,Ahmedabad,1,2023-11-16,Marathi,Basic
CUST00193,JioHotstar,49,45-54,Female,Bangalore,1,2023-11-19,Kannada,Basic
CUST00194,Netflix,28,25-34,Male,Mumbai,10,2023-02-14,Bengali,Basic
CUST00195,Amazon Prime,18,18-24,Female,Mumbai,30,2021-06-25,Tamil,Basic
CUST00196,Netflix,36,35-44,Female,Delhi,11,2023-01-18,English,Basic
CUST00197,SonyLiv,39,35-44,Male,Lucknow,3,2023-09-11,Telugu,Premium
CUST00198,Amazon Prime,41,35-44,Male,Jaipur,18,2022-07-09,English,Standard
CUST00199,ZEE5,36,35-44,Male,Lucknow,18,2022-06-20,English,Basic
CUST00200,Amazon Prime,21,18-24,Female,Ahmedabad,3,2023-10-03,Kannada,Premium
CUST00201,Amazon Prime,37,35-44,Female,Ahmedabad,5,2023-07-31,English,Basic
CUST00202,Amazon Prime,32,25-34,Female,Ahmedabad,24,2021-12-28,Gujarati,Standard
CUST00203,SonyLiv,36,35-44,Non-Binary,Bangalore,7,2023-05-11,Telugu,Premium
CUST00204,ZEE5,40,35-44,Non-Binary,Bangalore,13,2022-12-07,Telugu,Standard
CUST00205,ZEE5,34,25-34,Female,Ahmedabad,38,2020-11-17,Bengali,Basic
CUST00206,JioHotstar,32,25-34,Female,Hyderabad,5,2023-08-03,Hindi,Basic
CUST00207,Netflix,24,18-24,Male,Bangalore,11,2023-01-14,Kannada,Premium
CUST00208,Netflix,24,18-24,Male,Kolkata,9,2023-03-17,Tamil,Premium
CUST00209,JioHotstar,36,35-44,Female,Delhi,34,2021-02-19,Tamil,Standard
CUST00210,Netflix,23,18-24,Male,Delhi,50,2019-11-18,Hindi,Basic
CUST00211,SonyLiv,52,45-54,Female,Chennai,12,2023-01-03,Malayalam,Basic
CUST00212,ZEE5,41,35-44,Male,Lucknow,33,2021-03-19,Hindi,Standard
CUST00213,JioHotstar,31,25-34,Female,Kolkata,17,2022-08-03,English,Basic
CUST00214,Netflix,33,25-34,Male,Kolkata,6,2023-06-18,Malayalam,Premium
CUST00215,Netflix,48,45-54,Male,Ahmedabad,32,2021-04-24,Bengali,Basic
CUST00216,Netflix,21,18-24,Male,Pune,56,2019-05-01,Gujarati,Standard
CUST00217,Amazon Prime,43,35-44,Female,Lucknow,11,2023-02-04,English,Family
CUST00218,ZEE5,47,45-54,Female,Lucknow,18,2022-06-22,Marathi,Family
CUST00219,JioHotstar,52,45-54,Female,Delhi,29,2021-08-06,Tamil,Basic
CUST00220,SonyLiv,26,25-34,Male,Ahmedabad,40,2020-09-17,Malayalam,Basic
CUST00221,Netflix,30,25-34,Male,Hyderabad,56,2019-05-03,Bengali,Standard
CUST00222,Netflix,33,25-34,Male,Delhi,13,2022-11-13,Malayalam,Basic
CUST00223,Amazon Prime,18,18-24,Female,Jaipur,39,2020-09-24,Hindi,Basic
CUST00224,Amazon Prime,43,35-44,Female,Delhi,47,2020-02-06,Hindi,Basic
CUST00225,JioHotstar,29,25-34,Male,Pune,4,2023-08-23,Tamil,Premium
CUST00226,JioHotstar,41,35-44,Male,Bangalore,45,2020-04-16,Tamil,Standard
CUST00227,Netflix,42,35-44,Male,Jaipur,57,2019-04-19,Kannada,Standard
CUST00228,ZEE5,22,18-24,Female,Kolkata,18,2022-06-16,Bengali,Basic
CUST00229,JioHotstar,43,35-44,Non-Binary,Kolkata,29,2021-07-28,Kannada,Standard
CUST00230,ZEE5,34,25-34,Male,Kolkata,58,2019-03-07,Tamil,Premium
CUST00231,Amazon Prime,18,18-24,Male,Hyderabad,16,2022-09-01,Bengali,Standard
CUST00232,Netflix,25,25-34,Female,Jaipur,9,2023-04-01,Kannada,Standard
CUST00233,SonyLiv,40,35-44,Male,Delhi,34,2021-03-09,Marathi,Standard
CUST00234,SonyLiv,26,25-34,Male,Pune,44,2020-05-14,Kannada,Standard
CUST00235,Netflix,35,35-44,Male,Chennai,16,2022-08-26,Marathi,Standard
CUST00236,Amazon Prime,18,18-24,Female,Bangalore,24,2021-12-31,Malayalam,Standard
CUST00237,Netflix,41,35-44,Female,Mumbai,26,2021-10-25,Bengali,Premium
CUST00238,JioHotstar,23,18-24,Male,Bangalore,15,2022-10-08,Hindi,Standard
CUST00239,SonyLiv,38,35-44,Male,Lucknow,14,2022-10-19,Bengali,Premium
CUST00240,Netflix,25,25-34,Male,Delhi,58,2019-03-28,Malayalam,Basic
CUST00241,SonyLiv,34,25-34,Female,Kolkata,25,2021-11-25,Marathi,Standard
CUST00242,Netflix,21,18-24,Female,Hyderabad,56,2019-05-08,Marathi,Basic
CUST00243,JioHotstar,46,45-54,Male,Bangalore,8,2023-05-04,Kannada,Family
CUST00244,ZEE5,34,25-34,Male,Ahmedabad,8,2023-04-15,Kannada,Standard
CUST00245,SonyLiv,27,25-34,Female,Lucknow,7,2023-05-21,Kannada,Premium
CUST00246,Amazon Prime,35,35-44,Male,Ahmedabad,60,2019-01-17,Tamil,Basic
CUST00247,SonyLiv,18,18-24,Male,Ahmedabad,31,2021-05-31,Marathi,Basic
CUST00248,JioHotstar,22,18-24,Female,Jaipur,15,2022-10-05,Malayalam,Family
CUST00249,Amazon Prime,52,45-54,Male,Chennai,1,2023-11-28,Marathi,Standard
CUST00250,Amazon Prime,28,25-34,Male,Chennai,13,2022-11-13,English,Family
CUST00251,Netflix,44,35-44,Female,Ahmedabad,45,2020-03-24,Gujarati,Basic
CUST00252,JioHotstar,32,25-34,Male,Bangalore,8,2023-05-04,Kannada,Premium
CUST00253,Amazon Prime,36,35-44,Male,Pune,42,2020-07-17,Gujarati,Basic
CUST00254,ZEE5,29,25-34,Male,Bangalore,35,2021-02-04,Gujarati,Premium
CUST00255,SonyLiv,31,25-34,Male,Mumbai,36,2020-12-27,English,Basic
CUST00256,Netflix,39,35-44,Female,Hyderabad,56,2019-05-10,Malayalam,Basic
CUST00257,JioHotstar,35,35-44,Male,Pune,27,2021-09-30,Kannada,Family
CUST00258,Netflix,22,18-24,Female,Hyderabad,52,2019-09-08,Gujarati,Premium
CUST00259,Amazon Prime,44,35-44,Male,Jaipur,19,2022-06-09,Tamil,Basic
CUST00260,SonyLiv,34,25-34,Male,Lucknow,38,2020-11-01,Marathi,Basic
CUST00261,Netflix,35,35-44,Male,Hyderabad,23,2022-01-23,Marathi,Basic
CUST00262,JioHotstar,32,25-34,Female,Chennai,3,2023-09-12,Marathi,Standard
CUST00263,Amazon Prime,30,25-34,Male,Chennai,22,2022-02-14,Gujarati,Basic
CUST00264,Amazon Prime,27,25-34,Male,Jaipur,57,2019-04-10,Kannada,Standard
CUST00265,Netflix,36,35-44,Female,Kolkata,28,2021-08-20,Kannada,Standard
CUST00266,Amazon Prime,22,18-24,Female,Kolkata,54,2019-07-05,Bengali,Standard
CUST00267,SonyLiv,22,18-24,Female,Bangalore,21,2022-04-01,Marathi,Family
CUST00268,ZEE5,37,35-44,Male,Pune,45,2020-04-19,Gujarati,Basic
CUST00269,ZEE5,34,25-34,Male,Jaipur,5,2023-07-06,Bengali,Premium
CUST00270,Amazon Prime,37,35-44,Male,Lucknow,46,2020-03-22,Bengali,Premium
CUST00271,Amazon Prime,18,18-24,Female,Bangalore,47,2020-02-10,Marathi,Premium
CUST00272,ZEE5,33,25-34,Male,Delhi,50,2019-11-04,English,Premium
CUST00273,ZEE5,36,35-44,Male,Bangalore,25,2021-11-13,Kannada,Basic
CUST00274,ZEE5,26,25-34,Non-Binary,Bangalore,52,2019-09-04,Gujarati,Basic
CUST00275,Netflix,19,18-24,Male,Chennai,3,2023-09-06,Telugu,Standard
CUST00276,Netflix,38,35-44,Female,Lucknow,38,2020-11-13,Tamil,Standard
CUST00277,Amazon Prime,18,18-24,Male,Lucknow,1,2023-11-19,Gujarati,Premium
CUST00278,Netflix,22,18-24,Female,Delhi,33,2021-03-21,Malayalam,Standard
CUST00279,Netflix,19,18-24,Male,Bangalore,36,2021-01-08,Kannada,Standard
CUST00280,Amazon Prime,31,25-34,Male,Pune,42,2020-07-20,Tamil,Premium
CUST00281,Amazon Prime,21,18-24,Male,Mumbai,14,2022-10-14,Gujarati,Premium
CUST00282,SonyLiv,28,25-34,Male,Bangalore,42,2020-07-15,Gujarati,Premium
CUST00283,Amazon Prime,38,35-44,Female,Hyderabad,41,2020-08-13,English,Standard
CUST00284,SonyLiv,20,18-24,Female,Delhi,36,2021-01-02,Hindi,Standard
CUST00285,Amazon Prime,38,35-44,Male,Pune,52,2019-09-08,Telugu,Standard
CUST00286,Netflix,33,25-34,Female,Delhi,52,2019-09-23,Telugu,Standard
CUST00287,JioHotstar,36,35-44,Female,Bangalore,33,2021-04-11,Kannada,Basic
CUST00288,JioHotstar,37,35-44,Female,Bangalore,44,2020-04-30,Malayalam,Standard
CUST00289,JioHotstar,29,25-34,Male,Mumbai,11,2023-01-14,English,Family
CUST00290,JioHotstar,46,45-54,Female,Hyderabad,56,2019-05-07,Bengali,Basic
CUST00291,ZEE5,29,25-34,Female,Kolkata,60,2019-01-03,Gujarati,Premium
CUST00292,JioHotstar,18,18-24,Male,Delhi,18,2022-06-22,English,Standard
CUST00293,Netflix,43,35-44,Male,Hyderabad,6,2023-06-30,Gujarati,Family
CUST00294,SonyLiv,19,18-24,Male,Chennai,57,2019-03-29,Telugu,Premium
CUST00295,Netflix,40,35-44,Male,Lucknow,22,2022-02-25,Malayalam,Premium
CUST00296,Netflix,24,18-24,Female,Ahmedabad,37,2020-11-20,Hindi,Standard
CUST00297,Amazon Prime,18,18-24,Male,Hyderabad,42,2020-06-26,Bengali,Basic
CUST00298,SonyLiv,35,35-44,Male,Bangalore,40,2020-09-18,Tamil,Family
CUST00299,Amazon Prime,39,35-44,Male,Pune,35,2021-02-12,Tamil,Family
CUST00300,Netflix,28,25-34,Male,Delhi,31,2021-05-25,Marathi,Basic
CUST00301,JioHotstar,36,35-44,Male,Kolkata,25,2021-12-05,Marathi,Premium
CUST00302,Amazon Prime,42,35-44,Female,Pune,58,2019-02-28,English,Basic
CUST00303,Amazon Prime,31,25-34,Female,Ahmedabad,29,2021-08-07,Tamil,Basic
CUST00304,Amazon Prime,41,35-44,Male,Pune,36,2020-12-24,English,Basic
CUST00305,Netflix,46,45-54,Male,Hyderabad,59,2019-02-04,Marathi,Premium
CUST00306,JioHotstar,22,18-24,Female,Jaipur,44,2020-05-01,Gujarati,Standard
